Hydrogen,1.00784
Helium,4.002602
Lithium,6.938
Beryllium,9.0121831
Boron,10.806
Carbon,12.0096
Nitrogen,14.00643
Oxygen,15.99903
Fluorine,18.998403
Neon,20.1797
Sodium,22.98976928
Magnesium,24.304
Aluminum,26.9815385
Silicon,28.084
Phosphorus,30.973761998
Sulfur,32.059
Chlorine,35.446
Argon,39.948
Potassium,39.0983
Calcium,40.078
Scandium,44.955908
Titanium,47.867
Vanadium,50.9415
Chromium,51.9961
Manganese,54.938044
Iron,55.845
Cobalt,58.933194
Nickel,58.6934
Copper,63.546
Zinc,65.38
Gallium,69.723
Germanium,72.63
Arsenic,74.921595
Selenium,78.971
Bromine,79.901
Krypton,83.798
Rubidium,85.4678
Strontium,87.62
Yttrium,88.90584
Zirconium,91.224
Niobium,92.90637
Molybdenum,95.95
Technetium,98
Ruthenium,101.07
Rhodium,102.9055
Palladium,106.42
Silver,107.8682
Cadmium,112.414
Indium,114.818
Tin,118.71
Antimony,121.76
Tellurium,127.6
Iodine,126.90447
Xenon,131.293
Cesium,132.90545196
Barium,137.327
Lanthanum,138.90547
Cerium,140.116
Praseodymium,140.90766
Neodymium,144.242
Promethium,145
Samarium,150.36
Europium,151.964
Gadolinium,157.25
Terbium,158.92535
Dysprosium,162.5
Holmium,164.93033
Erbium,167.259
Thulium,168.93422
Ytterbium,173.054
Lutetium,174.9668
Hafnium,178.49
Tantalum,180.94788
Tungsten,183.84
Rhenium,186.207
Osmium,190.23
Iridium,192.217
Platinum,195.084
Gold,196.966569
Mercury,200.592
Thallium,204.382
Lead,207.2
Bismuth,208.98
Polonium,209
Astatine,210
Radon,222
Francium,223
Radium,226
Actinium,227
Thorium,232.0377
Protactinium,231.03588
Uranium,238.02891
